2022-04-05 23:16:39 ERROR Mintermen:25 - Log4j error
2022-04-05 23:16:39 WARN  Mintermen:26 - Log4j Warn
2022-04-19 17:31:20 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:31:20 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:32:43 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:32:43 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:33:27 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:33:27 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:51:07 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:51:07 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:53:44 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:53:44 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:54:43 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:54:43 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:55:13 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:55:13 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:56:21 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:56:21 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:58:03 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:58:03 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:58:11 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:58:11 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:58:53 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
2022-04-19 17:58:53 INFO  Maxtermen:26 - S-a accesat instanta Singleton din Maxtermen
2022-04-19 17:59:16 INFO  Mintermen:24 - S-a accesat instanta Singleton din MINTERMEN
